"","created_at","text","id"
"1",2018-11-26 20:20:59,"....starts today, election is on december 4th. @votebradraff is tough on crime and borders, loves our military and vets. he will be great for jobs!",1
"2",2018-11-26 20:20:58,"brad raffensperger will be a fantastic secretary of state for georgia - will work closely with @briankempga. it is really important that you get out and vote for brad - early voting....",2
"3",2018-11-26 19:47:29,"....and false way. something has to be done, including the possibility of the united states starting our own worldwide network to show the world the way we really are, great!",3
"4",2018-11-26 19:47:29,"while cnn doesn’t do great in the united states based on ratings, outside of the u.s. they have very little competition. throughout the world, cnn has a powerful voice portraying the united states in an unfair....",4
"5",2018-11-26 19:45:16,"on the ten-year anniversary of the mumbai terror attack, the u.s. stands with the people of india in their quest for justice. the attack killed 166 innocents, including six americans. we will never let terrorists win, or even come close to winning!",5
"6",2018-11-26 14:44:33,"....hundreds of people closely involved with my campaign who never met, saw or spoke to a russian during this period? so many campaign workers, people inside from the beginning, ask me why they have not been called (they want to be). there was no collusion &amp; mueller knows it!",6
"7",2018-11-26 14:33:12,"when mueller does his final report, will he be covering all of his conflicts of interest in a preamble, will he be recommending action on all of the crimes of many kinds from those “on the other side”(whatever happened to podesta?), and will he be putting in statements from.....",7
"8",2018-11-26 11:19:41,"mexico should move the flag waving migrants, many of whom are stone cold criminals, back to their countries. do it by plane, do it by bus, do it anyway you want, but they are not coming into the u.s.a. we will close the border permanently if need be. congress, fund the wall!",8
"9",2018-11-26 02:07:27,"....children from parents, as did bush etc., because that is the policy and law. i tried to keep them together but the problem is, when you do that, vast numbers of additional people storm the border. so with obama seperation is fine, but with trump it’s not. fake 60 minutes!",9
"10",2018-11-26 01:59:13,".@60minutes did a phony story about child separation when they know we had the exact same policy as the obama administration. in fact a picture of children in jails was used by other fake media to show how bad (cruel) we are, but it was in 2014 during o years. obama separated....",10
"11",2018-11-25 20:39:26,"clinton foundation donations drop 42% - which shows that they illegally played the power game. they monetized their political influence through the foundation. “during her tenure the state department was put in the service of the clinton foundation.”  andrew mccarthy",11
"12",2018-11-25 20:27:34,"europe has to pay their fair share for military protection. the european union, for many years, has taken advantage of us on trade, and then they don’t live up to their military commitment through nato. things must change fast!",12
"13",2018-11-25 20:20:36,"general anthony tata: “president trump is a man of his word &amp; he said he was going to be tough on the border, and he is tough on the border. he has rightfully strengthened the border in the face of an unprecedented threat. it’s the right move by president trump.” thanks general!",13
"14",2018-11-25 20:13:00,"mississippi, vote for @cindyhydesmith on tuesday. respected by all. we need her in washington!. thanks!",14
"15",2018-11-25 13:46:54,"so great that oil prices are falling (thank you president t). add that, which is like a big tax cut, to our other good economic news. inflation down (are you listening fed)!",15
"16",2018-11-25 13:28:30,"would be very smart if mexico would stop the caravans long before they get to our southern border, or if originating countries would not let them form (it is a way they get certain people out of their country and dump in u.s. no longer). dems created this problem. no crossings!",16
"17",2018-11-25 13:16:56,"the large and violent french protests don’t take into account how badly the united states has been treated on trade by the european union or on fair and reasonable payments for our great military protection. both of these topics must be remedied soon.",17
"18",2018-11-25 12:30:51,"i will be in gulfport and tupelo, mississippi, on monday night doing two rallies for senator hyde-smith, who has a very important election on tuesday. she is an outstanding person who is strong on the border, crime, military, our great vets, healthcare &amp; the 2nd a. needed in d.c.",18
"19",2018-11-25 12:12:34,"victor davis hanson was a very good and interesting guest of mark levin on @foxnews. he wrote a highly touted book called “the second world wars” and a new book will soon be coming out called “the case for trump.” recommend both. @marklevinshow",19
"20",2018-11-24 23:56:27,"....all will stay in mexico. if for any reason it becomes necessary, we will close our southern border. there is no way that the united states will, after decades of abuse, put up with this costly and dangerous situation anymore!",20
"21",2018-11-24 23:49:25,"migrants at the southern border will not be allowed into the united states until their claims are individually approved in court. we only will allow those who come into our country legally. other than that our very strong policy is catch and detain. no “releasing” into the u.s...",21
"22",2018-11-24 18:44:35,"small business saturday has become a staple of the post-thanksgiving shopping weekend. ""this year, small business saturday has the potential to be even greater,"" @sbalinda writes. ""the reason? a strong economy and record level consumer optimism."" https://t.co/vvmzsatove",22
"23",2018-11-23 23:49:04,"the fake news is showing old footage of people climbing over our ocean area fence. this is what it really looks like - no climbers anymore under our administration! https://t.co/cd4ltrepml",23
"24",2018-11-23 23:48:19,"i am extremely happy and proud of the job being done by @ustreasury secretary @stevenmnuchin1. the fake news likes to write stories to the contrary, quoting phony sources or jealous people, but they aren’t true. they never like to ask me for a quote b/c it would kill their story.",24
"25",2018-11-23 17:14:19,"really good criminal justice reform has a true shot at major bipartisan support. @senatemajldr mitch mcconnell and @senschumer have a real chance to do something so badly needed in our country. already passed, with big vote, in house. would be a major victory for all!",25
"26",2018-11-23 12:41:50,"republicans and democrats must come together, finally, with a major border security package, which will include funding for the wall. after 40 years of talk, it is finally time for action. fix the border, for once and for all, now!",26
"27",2018-11-22 23:07:44,"our highly trained security professionals are not allowed to do their job on the border because of the judicial activism and interference by the 9th circuit. nevertheless, they are working hard to make america a safer place, though hard to do when anybody filing a lawsuit wins!",27
"28",2018-11-22 21:26:12,"this is the coldest weather in the history of the thanksgiving day parade in nyc, and one of the coldest thanksgivings on record!",28
"29",2018-11-22 15:12:12,"https://t.co/y4chcfedke",29
"30",2018-11-22 13:42:29,"will be speaking with our great military in different parts of the world, through teleconference, at 9:00 a.m. eastern. then it will be off to see our coast guard patriots &amp; to thank them for the great job they have been doing, especially with the hurricanes. happy thanksgiving!",30
"31",2018-11-22 12:30:27,"....and safety at the border, or anywhere else. they know nothing about it and are making our country unsafe. our great law enforcement professionals must be allowed to do their job! if not there will be only bedlam, chaos, injury and death. we want the constitution as written!",31
"32",2018-11-22 12:21:51,"justice roberts can say what he wants, but the 9th circuit is a complete &amp; total disaster. it is out of control, has a horrible reputation, is overturned more than any circuit in the country, 79%, &amp; is used to get an almost guaranteed result. judges must not legislate security...",32
"33",2018-11-22 12:01:51,"happy thanksgiving to all!",33
"34",2018-11-22 11:58:24,"“it’s a mean &amp; nasty world out there, the middle east in particular. this is a long and historic commitment, &amp; one that is absolutely vital to america’s national security.” @secpompeo  i agree 100%. in addition, many billions of dollars of purchases made in u.s., big jobs &amp; oil!",34
"35",2018-11-22 00:36:06,"you just can’t win with the fake news media. a big story today is that because i have pushed so hard and gotten gasoline prices so low, more people are driving and i have caused traffic jams throughout our great nation. sorry everyone!",35
"36",2018-11-22 00:23:09,"brutal and extended cold blast could shatter all records - whatever happened to global warming?",36
"37",2018-11-21 22:18:28,"make america great again!",37
"38",2018-11-21 22:18:24,"america first!",38
"39",2018-11-21 22:17:33,"“79% of these decisions have been overturned in the 9th circuit.” @foxnews  a terrible, costly and dangerous disgrace. it has become a dumping ground for certain lawyers looking for easy wins and delays. much talk over dividing up the 9th circuit into 2 or 3 circuits. too big!",39
"40",2018-11-21 21:42:30,"there are a lot of criminals in the caravan. we will stop them. catch and detain! judicial activism, by people who know nothing about security and the safety of our citizens, is putting our country in great danger. not good!",40
"41",2018-11-21 21:31:24,"“thank you to president trump on the border. no american president has ever done this before.” hector garza, national border patrol council",41
"42",2018-11-21 21:09:20,".....are so many opposing view (on border and safety) cases filed there, and why are a vast number of those cases overturned. please study the numbers, they are shocking. we need protection and security - these rulings are making our country unsafe! very dangerous and unwise!",42
"43",2018-11-21 20:51:11,"sorry chief justice john roberts, but you do indeed have “obama judges,” and they have a much different point of view than the people who are charged with the safety of our country. it would be great if the 9th circuit was indeed an “independent judiciary,” but if it is why......",43
"44",2018-11-21 15:13:33,"great new book out, “mad politics: keeping your sanity in a world gone crazy” by @realdrgina loudon. go out and get your copy today — a great read!",44
"45",2018-11-21 14:16:26,"“‘trump imitation syndrome’ is afflicting the president’s liberal enemies” 

thank you @mgoodwin_nypost! https://t.co/kpmsrkcabz",45
"46",2018-11-21 12:50:29,"make america great again!",46
"47",2018-11-21 12:49:51,"oil prices getting lower. great! like a big tax cut for america and the world. enjoy! $54, was just $82. thank you to saudi arabia, but let’s go lower!",47
"48",2018-11-21 04:40:03,"america first!",48
"49",2018-11-21 03:43:41,"so-called comedian michelle wolf bombed so badly last year at the white house correspondents’ dinner that this year, for the first time in decades, they will have an author instead of a comedian. good first step in comeback of a dying evening and tradition! maybe i will go?",49
"50",2018-11-20 20:01:03,"president @realdonaldtrump, joined by @flotus, has officially pardoned this year's national thanksgiving turkey, peas—and his alternate, carrots! https://t.co/exl9pgk8bo",50
"51",2018-11-20 04:19:18,"i hope the discovery and eventual recovery of the argentine submarine san juan brings needed closure to the wonderful families of those brave missing sailors. i look forward to hearing more from my friend president @mauriciomacri in argentina later this month.",51
